caminho,nome_arquivo,divisao_original,classe,extensao,sha256,grupo_candidato,duplicata_exata,copia_excedente,fold,divisao_nova,label,probabilidade_pneumonia,classe_prevista_num,classe_prevista,acerto,tipo_resultado,largura_original,altura_original,razao_aspecto,pixels_totais,grupo_resultado
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0119-0001.jpeg,IM-0119-0001.jpeg,train,NORMAL,.jpeg,46c9ea6d3c6ef09eac134e3cb3294caaa63aa2b8c5327814ebfa3f2e81d24af0,IM-0119,False,False,0,teste,0,0.0016290142,0,NORMAL,True,TN,1810,1434,1.2622036262203626,2595540,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0135-0001.jpeg,IM-0135-0001.jpeg,train,NORMAL,.jpeg,384f8d663591441e1c9230fbc76365c80035c028e80e31ce1bbab9e55364574e,IM-0135,False,False,0,teste,0,0.0016787777,0,NORMAL,True,TN,1724,1581,1.09044908285895,2725644,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0137-0001.jpeg,IM-0137-0001.jpeg,train,NORMAL,.jpeg,de883f53363152a02b3e0978ac7a287ee0709127269555b5dd83f18a7c0cd71c,IM-0137,False,False,0,teste,0,0.0696628,0,NORMAL,True,TN,1346,1044,1.289272030651341,1405224,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0156-0001.jpeg,IM-0156-0001.jpeg,train,NORMAL,.jpeg,895973704b29973e14d854826bf303bb10d2d10a0bb22872ad93ec24f361fa89,IM-0156,False,False,0,teste,0,0.05829971,0,NORMAL,True,TN,1488,1209,1.2307692307692308,1798992,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0172-0001.jpeg,IM-0172-0001.jpeg,train,NORMAL,.jpeg,3f2a81d5bf8adaca26f2f97963b26ada06115d8aaf00ca56ed56fe07e34a0ab8,IM-0172,False,False,0,teste,0,0.006792302,0,NORMAL,True,TN,1876,1893,0.9910195456946645,3551268,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0177-0001.jpeg,IM-0177-0001.jpeg,train,NORMAL,.jpeg,4a9296a78395959ca77ba52a4528173d026f5bdd742b8efff427f40882dadd74,IM-0177,False,False,0,teste,0,0.008082414,0,NORMAL,True,TN,2172,1615,1.344891640866873,3507780,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0206-0001.jpeg,IM-0206-0001.jpeg,train,NORMAL,.jpeg,b530f27695a6a254e436da3e06a2229a6604f927bebc5953968fa747090bb907,IM-0206,False,False,0,teste,0,0.10273218,0,NORMAL,True,TN,1040,747,1.392235609103079,776880,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0215-0001.jpeg,IM-0215-0001.jpeg,train,NORMAL,.jpeg,67ae8f62c16b54d9e1fe811cbff07c52bd26aa139865c547264ad07dba9bedd6,IM-0215,False,False,0,teste,0,0.23041241,0,NORMAL,True,TN,1666,1209,1.3779983457402811,2014194,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0222-0001.jpeg,IM-0222-0001.jpeg,train,NORMAL,.jpeg,23116904567e423b903ee36ab7ab1a2643257704f6868ce884aa37c2172a108e,IM-0222,False,False,0,teste,0,0.058500823,0,NORMAL,True,TN,1604,1179,1.3604749787955894,1891116,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0239-0001.jpeg,IM-0239-0001.jpeg,train,NORMAL,.jpeg,b4eec96eb9c9a4c9cf55837478e8ba221c2d4221b6752d3b51fabf8cb53a2484,IM-0239,False,False,0,teste,0,0.002729148,0,NORMAL,True,TN,1690,1314,1.2861491628614916,2220660,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0253-0001.jpeg,IM-0253-0001.jpeg,train,NORMAL,.jpeg,c183beaed7abcfae78d2d73b37f5543ea6cbd5cc19021750b0c11071ca096a63,IM-0253,False,False,0,teste,0,0.00273992,0,NORMAL,True,TN,1720,1306,1.3169984686064318,2246320,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0266-0001.jpeg,IM-0266-0001.jpeg,train,NORMAL,.jpeg,cd7b568405c80a1c4bc5c1a83c88e8cc44cd4e067c4a47f233fc68b68b420668,IM-0266,False,False,0,teste,0,0.010260008,0,NORMAL,True,TN,1848,1495,1.2361204013377927,2762760,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0269-0001.jpeg,IM-0269-0001.jpeg,train,NORMAL,.jpeg,494936d64cfda9a5c1a4660c48ed340d3abc1f0233619cc461161d4458150a1a,IM-0269,False,False,0,teste,0,0.0002731937,0,NORMAL,True,TN,2002,1786,1.1209406494960805,3575572,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0280-0001.jpeg,IM-0280-0001.jpeg,train,NORMAL,.jpeg,3eed9e11845b2d7f67c3a2c20d4f46507edb5f69fa05eefd2d1d2a360e6d7645,IM-0280,False,False,0,teste,0,0.026178608,0,NORMAL,True,TN,1728,1222,1.414075286415712,2111616,NORMAL - ACERTO
/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/train/NORMAL/IM-0293-0001.jpeg,IM-0293-0001.jpeg,train,NORMAL,.jpeg,768bab389548e252d143686231fe70c629390ee223bc8becedc242068582bb72,IM-0293,False,False,0,teste,0,0.04222398,0,NORMAL,True,TN,1438,1059,1.3578847969782815,1522842,NORMAL - ACERTO
